sample	r1	r2
ERR12670187	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/087/ERR12670187/ERR12670187_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/087/ERR12670187/ERR12670187_2.fastq.gz
ERR12670188	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/088/ERR12670188/ERR12670188_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/088/ERR12670188/ERR12670188_2.fastq.gz
ERR12670190	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/090/ERR12670190/ERR12670190_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/090/ERR12670190/ERR12670190_2.fastq.gz
ERR12670193	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/093/ERR12670193/ERR12670193_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/093/ERR12670193/ERR12670193_2.fastq.gz
ERR12670197	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/097/ERR12670197/ERR12670197_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/097/ERR12670197/ERR12670197_2.fastq.gz
ERR12670198	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/098/ERR12670198/ERR12670198_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/098/ERR12670198/ERR12670198_2.fastq.gz
ERR12670203	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/003/ERR12670203/ERR12670203_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/003/ERR12670203/ERR12670203_2.fastq.gz
ERR12670206	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/006/ERR12670206/ERR12670206_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/006/ERR12670206/ERR12670206_2.fastq.gz
ERR12670207	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/007/ERR12670207/ERR12670207_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/007/ERR12670207/ERR12670207_2.fastq.gz
ERR12670209	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/009/ERR12670209/ERR12670209_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/009/ERR12670209/ERR12670209_2.fastq.gz
ERR12670210	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/010/ERR12670210/ERR12670210_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/010/ERR12670210/ERR12670210_2.fastq.gz
ERR12670219	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/019/ERR12670219/ERR12670219_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/019/ERR12670219/ERR12670219_2.fastq.gz
ERR12670220	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/020/ERR12670220/ERR12670220_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/020/ERR12670220/ERR12670220_2.fastq.gz
ERR12670222	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/022/ERR12670222/ERR12670222_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/022/ERR12670222/ERR12670222_2.fastq.gz
ERR12670223	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/023/ERR12670223/ERR12670223_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/023/ERR12670223/ERR12670223_2.fastq.gz
ERR12670224	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/024/ERR12670224/ERR12670224_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/024/ERR12670224/ERR12670224_2.fastq.gz
ERR12670227	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/027/ERR12670227/ERR12670227_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/027/ERR12670227/ERR12670227_2.fastq.gz
ERR12670230	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/030/ERR12670230/ERR12670230_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/030/ERR12670230/ERR12670230_2.fastq.gz
ERR12670231	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/031/ERR12670231/ERR12670231_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/031/ERR12670231/ERR12670231_2.fastq.gz
ERR12670232	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/032/ERR12670232/ERR12670232_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/032/ERR12670232/ERR12670232_2.fastq.gz
ERR12670235	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/035/ERR12670235/ERR12670235_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/035/ERR12670235/ERR12670235_2.fastq.gz
ERR12670237	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/037/ERR12670237/ERR12670237_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/037/ERR12670237/ERR12670237_2.fastq.gz
ERR12670244	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/044/ERR12670244/ERR12670244_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/044/ERR12670244/ERR12670244_2.fastq.gz
ERR12670245	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/045/ERR12670245/ERR12670245_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/045/ERR12670245/ERR12670245_2.fastq.gz
ERR12670246	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/046/ERR12670246/ERR12670246_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/046/ERR12670246/ERR12670246_2.fastq.gz
ERR12670247	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/047/ERR12670247/ERR12670247_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/047/ERR12670247/ERR12670247_2.fastq.gz
ERR12670261	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/061/ERR12670261/ERR12670261_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/061/ERR12670261/ERR12670261_2.fastq.gz
ERR12670265	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/065/ERR12670265/ERR12670265_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/065/ERR12670265/ERR12670265_2.fastq.gz
ERR12670266	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/066/ERR12670266/ERR12670266_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/066/ERR12670266/ERR12670266_2.fastq.gz
ERR12670267	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/067/ERR12670267/ERR12670267_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/067/ERR12670267/ERR12670267_2.fastq.gz
ERR12670270	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/070/ERR12670270/ERR12670270_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/070/ERR12670270/ERR12670270_2.fastq.gz
ERR12670282	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/082/ERR12670282/ERR12670282_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/082/ERR12670282/ERR12670282_2.fastq.gz
ERR12670284	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/084/ERR12670284/ERR12670284_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/084/ERR12670284/ERR12670284_2.fastq.gz
ERR12670288	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/088/ERR12670288/ERR12670288_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/088/ERR12670288/ERR12670288_2.fastq.gz
ERR12670289	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/089/ERR12670289/ERR12670289_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/089/ERR12670289/ERR12670289_2.fastq.gz
ERR12670297	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/097/ERR12670297/ERR12670297_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/097/ERR12670297/ERR12670297_2.fastq.gz
ERR12670304	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/004/ERR12670304/ERR12670304_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/004/ERR12670304/ERR12670304_2.fastq.gz
ERR12670308	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/008/ERR12670308/ERR12670308_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/008/ERR12670308/ERR12670308_2.fastq.gz
ERR12670318	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/018/ERR12670318/ERR12670318_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/018/ERR12670318/ERR12670318_2.fastq.gz
ERR12670322	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/022/ERR12670322/ERR12670322_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/022/ERR12670322/ERR12670322_2.fastq.gz
ERR12670324	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/024/ERR12670324/ERR12670324_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/024/ERR12670324/ERR12670324_2.fastq.gz
ERR12670325	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/025/ERR12670325/ERR12670325_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/025/ERR12670325/ERR12670325_2.fastq.gz
ERR12670326	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/026/ERR12670326/ERR12670326_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/026/ERR12670326/ERR12670326_2.fastq.gz
ERR12670329	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/029/ERR12670329/ERR12670329_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/029/ERR12670329/ERR12670329_2.fastq.gz
ERR12670335	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/035/ERR12670335/ERR12670335_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/035/ERR12670335/ERR12670335_2.fastq.gz
ERR12670337	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/037/ERR12670337/ERR12670337_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/037/ERR12670337/ERR12670337_2.fastq.gz
ERR12670340	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/040/ERR12670340/ERR12670340_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/040/ERR12670340/ERR12670340_2.fastq.gz
ERR12670342	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/042/ERR12670342/ERR12670342_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/042/ERR12670342/ERR12670342_2.fastq.gz
ERR12670344	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/044/ERR12670344/ERR12670344_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/044/ERR12670344/ERR12670344_2.fastq.gz
ERR12670353	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/053/ERR12670353/ERR12670353_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/053/ERR12670353/ERR12670353_2.fastq.gz
ERR12670356	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/056/ERR12670356/ERR12670356_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/056/ERR12670356/ERR12670356_2.fastq.gz
ERR12670363	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/063/ERR12670363/ERR12670363_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/063/ERR12670363/ERR12670363_2.fastq.gz
ERR12670365	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/065/ERR12670365/ERR12670365_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/065/ERR12670365/ERR12670365_2.fastq.gz
ERR12670366	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/066/ERR12670366/ERR12670366_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/066/ERR12670366/ERR12670366_2.fastq.gz
ERR12670367	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/067/ERR12670367/ERR12670367_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/067/ERR12670367/ERR12670367_2.fastq.gz
ERR12670381	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/081/ERR12670381/ERR12670381_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/081/ERR12670381/ERR12670381_2.fastq.gz
ERR12670383	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/083/ERR12670383/ERR12670383_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/083/ERR12670383/ERR12670383_2.fastq.gz
ERR12670384	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/084/ERR12670384/ERR12670384_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/084/ERR12670384/ERR12670384_2.fastq.gz
ERR12670387	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/087/ERR12670387/ERR12670387_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/087/ERR12670387/ERR12670387_2.fastq.gz
ERR12670392	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/092/ERR12670392/ERR12670392_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/092/ERR12670392/ERR12670392_2.fastq.gz
ERR12670393	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/093/ERR12670393/ERR12670393_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/093/ERR12670393/ERR12670393_2.fastq.gz
ERR12670394	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/094/ERR12670394/ERR12670394_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/094/ERR12670394/ERR12670394_2.fastq.gz
ERR12670395	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/095/ERR12670395/ERR12670395_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/095/ERR12670395/ERR12670395_2.fastq.gz
ERR12670407	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/007/ERR12670407/ERR12670407_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/007/ERR12670407/ERR12670407_2.fastq.gz
ERR12670408	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/008/ERR12670408/ERR12670408_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/008/ERR12670408/ERR12670408_2.fastq.gz
ERR12670410	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/010/ERR12670410/ERR12670410_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/010/ERR12670410/ERR12670410_2.fastq.gz
ERR12670413	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/013/ERR12670413/ERR12670413_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/013/ERR12670413/ERR12670413_2.fastq.gz
ERR12670421	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/021/ERR12670421/ERR12670421_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/021/ERR12670421/ERR12670421_2.fastq.gz
ERR12670428	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/028/ERR12670428/ERR12670428_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/028/ERR12670428/ERR12670428_2.fastq.gz
ERR12670432	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/032/ERR12670432/ERR12670432_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/032/ERR12670432/ERR12670432_2.fastq.gz
ERR12670434	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/034/ERR12670434/ERR12670434_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/034/ERR12670434/ERR12670434_2.fastq.gz
ERR12670437	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/037/ERR12670437/ERR12670437_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/037/ERR12670437/ERR12670437_2.fastq.gz
ERR12670438	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/038/ERR12670438/ERR12670438_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/038/ERR12670438/ERR12670438_2.fastq.gz
ERR12670443	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/043/ERR12670443/ERR12670443_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/043/ERR12670443/ERR12670443_2.fastq.gz
ERR12670444	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/044/ERR12670444/ERR12670444_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/044/ERR12670444/ERR12670444_2.fastq.gz
ERR12670446	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/046/ERR12670446/ERR12670446_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/046/ERR12670446/ERR12670446_2.fastq.gz
ERR12670450	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/050/ERR12670450/ERR12670450_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/050/ERR12670450/ERR12670450_2.fastq.gz
ERR12670453	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/053/ERR12670453/ERR12670453_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/053/ERR12670453/ERR12670453_2.fastq.gz
ERR12670454	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/054/ERR12670454/ERR12670454_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/054/ERR12670454/ERR12670454_2.fastq.gz
ERR12670455	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/055/ERR12670455/ERR12670455_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/055/ERR12670455/ERR12670455_2.fastq.gz
ERR12670458	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/058/ERR12670458/ERR12670458_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/058/ERR12670458/ERR12670458_2.fastq.gz
ERR12670460	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/060/ERR12670460/ERR12670460_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/060/ERR12670460/ERR12670460_2.fastq.gz
ERR12670464	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/064/ERR12670464/ERR12670464_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/064/ERR12670464/ERR12670464_2.fastq.gz
ERR12670466	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/066/ERR12670466/ERR12670466_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/066/ERR12670466/ERR12670466_2.fastq.gz
ERR12670467	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/067/ERR12670467/ERR12670467_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/067/ERR12670467/ERR12670467_2.fastq.gz
ERR12670472	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/072/ERR12670472/ERR12670472_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/072/ERR12670472/ERR12670472_2.fastq.gz
ERR12670473	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/073/ERR12670473/ERR12670473_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/073/ERR12670473/ERR12670473_2.fastq.gz
ERR12670482	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/082/ERR12670482/ERR12670482_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/082/ERR12670482/ERR12670482_2.fastq.gz
ERR12670484	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/084/ERR12670484/ERR12670484_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/084/ERR12670484/ERR12670484_2.fastq.gz
ERR12670487	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/087/ERR12670487/ERR12670487_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/087/ERR12670487/ERR12670487_2.fastq.gz
ERR12670491	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/091/ERR12670491/ERR12670491_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/091/ERR12670491/ERR12670491_2.fastq.gz
ERR12670492	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/092/ERR12670492/ERR12670492_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/092/ERR12670492/ERR12670492_2.fastq.gz
ERR12670494	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/094/ERR12670494/ERR12670494_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/094/ERR12670494/ERR12670494_2.fastq.gz
ERR12670497	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/097/ERR12670497/ERR12670497_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/097/ERR12670497/ERR12670497_2.fastq.gz
ERR12670499	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/099/ERR12670499/ERR12670499_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/099/ERR12670499/ERR12670499_2.fastq.gz
ERR12670501	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/001/ERR12670501/ERR12670501_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/001/ERR12670501/ERR12670501_2.fastq.gz
ERR12670502	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/002/ERR12670502/ERR12670502_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/002/ERR12670502/ERR12670502_2.fastq.gz
ERR12670506	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/006/ERR12670506/ERR12670506_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/006/ERR12670506/ERR12670506_2.fastq.gz
ERR12670508	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/008/ERR12670508/ERR12670508_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/008/ERR12670508/ERR12670508_2.fastq.gz
ERR12670510	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/010/ERR12670510/ERR12670510_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/010/ERR12670510/ERR12670510_2.fastq.gz
ERR12670516	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/016/ERR12670516/ERR12670516_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/016/ERR12670516/ERR12670516_2.fastq.gz
ERR12670517	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/017/ERR12670517/ERR12670517_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/017/ERR12670517/ERR12670517_2.fastq.gz
ERR12670519	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/019/ERR12670519/ERR12670519_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/019/ERR12670519/ERR12670519_2.fastq.gz
ERR12670520	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/020/ERR12670520/ERR12670520_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/020/ERR12670520/ERR12670520_2.fastq.gz
